codigo,descripcion
011130,Cultivo de cereales
011140,Cultivo de oleaginosas
011150,Cultivo de caña de azúcar
011160,Cultivo de tabaco
011170,Cultivo de algodón
011180,Cultivo de flores
011190,Otros cultivos temporales
012110,Cría de ganado bovino
012120,Cría de ganado porcino
012130,Cría de aves de corral
012140,Cría de ovejas
